_index,_type,_id,_score,_source/uuid
news_articles,_doc,PqfxeHEBQ7bCTl73CKGP,23.217146,3b8332ca328955b13dcfd750ba67ba7059265a9b
news_articles,_doc,TKrzeHEBQ7bCTl73lqDd,23.20477,c6f68e9ea1631a55d5b3e84916a66b992f646601
news_articles,_doc,0qv0eHEBQ7bCTl730Kdd,23.19684,ee830e7bab892f1a54c72cacebfcb8a3724731a4
news_articles,_doc,0qfweHEBQ7bCTl732Xnx,23.182577,332ab90b8128355ac13465ed1fbd9fa936355229
news_articles,_doc,WanyeHEBQ7bCTl73LyJv,23.175241,4fe6ff7ed5a75d6df6b5c850475841ec631effea
news_articles,_doc,-6rzeHEBQ7bCTl73lqfd,23.172905,6f50a8f7843df4275a95f2ed80cf597771622d62
news_articles,_doc,OKv0eHEBQ7bCTl730Lte,23.1668,4a606ed96319eaccbec7a1b65d129a6fa96fb9da
news_articles,_doc,9Kv0eHEBQ7bCTl730L1e,23.136295,ffcb342f3c88f0e1973c8b04b32bbc30c6c6b43e
news_articles,_doc,marzeHEBQ7bCTl73ODAI,23.13101,576285b2f2522acb7f1f4f29c8ade01b434e3b3d
news_articles,_doc,nqfweHEBQ7bCTl732Vjr,23.122072,9798b04ba97900b09eaa22df05b65ac870c1b5d4
news_articles,_doc,iqv0eHEBQ7bCTl730Lle,23.05696,13bb995541c9604c58b2f3e5165543b9ef71b204
news_articles,_doc,PqnyeHEBQ7bCTl731sIo,23.043442,f4b5107563d23d693b6f26e4fbc0782df688c900
news_articles,_doc,PqjxeHEBQ7bCTl73k1HD,22.983822,3c5aa989a5a361ed177d25dee1d50d7511885022
news_articles,_doc,_KfxeHEBQ7bCTl73NdFE,22.975649,9efd0fbf3545d705be72fc2a5c6b74d53455e3a1
news_articles,_doc,9anyeHEBQ7bCTl731sAn,22.948954,1e8064252cbbc3934f201996097487fe7349b3ab
news_articles,_doc,aKjxeHEBQ7bCTl73xZc1,22.944908,882cb364bb40f86bb1899c82c4f018bfa85a23ff
news_articles,_doc,y6nyeHEBQ7bCTl731pkl,22.939823,d0be2a6ef8df3761b2d58c7db5b9020e02005454
news_articles,_doc,MqnyeHEBQ7bCTl731p4l,22.921541,14e0cf6ee399a5b6d05a797f94df87a82dfea8ba
news_articles,_doc,_KrzeHEBQ7bCTl73zfJn,22.907715,ab643e3fbdbfb196bf552481fc6ee75a3b36cfb2
news_articles,_doc,J6nzeHEBQ7bCTl73B_Cf,22.87605,71a4d62003210c293367b9845aa0adb667a0f233
news_articles,_doc,rKjxeHEBQ7bCTl73Yip7,22.854134,74bf79b754418c83838e866fadb5de384fa415c0
news_articles,_doc,kKjxeHEBQ7bCTl73xZc1,22.723145,d740cbd40c8d6273c8c5170476d98e81fade546e
news_articles,_doc,TKrzeHEBQ7bCTl73annM,22.609755,13ad20c266012c82daad686ee5afc5ec0d064702
news_articles,_doc,bqnyeHEBQ7bCTl731rYn,22.587929,97d96de9401c27db5bd98a4ad80df157a677c11e
news_articles,_doc,wav0eHEBQ7bCTl73VE8v,22.55205,10372454513ece042c0d86671c4eae7d5c9c97f7
