UUID Solr;UUID Elastic;UUID Manticore;Wszystkie;Wszystkie (bez duplikatów);Relewantny globalnie;Rel w Solr;Rel w Elast;Rel W Mant;;TP Solr;FP Solr;FN Solr;TN Solr;;TP Elastic;FP Elastic;FN Elastic;TN Elastic;;TP Manticore;FP Manti;FN Manti;TN Manti;;;;;;;;;;
00ca0e16cafd5dd9f2ee82ae11ec1449d6dd171a;3b11e04c53854c1e7ce7ceb809247d5b0ec14f08; c5742739ac5a5a4f4829e446ae21fb904c5a7226;00ca0e16cafd5dd9f2ee82ae11ec1449d6dd171a;00ca0e16cafd5dd9f2ee82ae11ec1449d6dd171a;TRUE;TRUE;TRUE;FALSE;;TRUE;FALSE;FALSE;FALSE;;TRUE;FALSE;FALSE;FALSE;;FALSE;FALSE;TRUE;FALSE;;;;;;;;;;
5ea39a8555f96be8a9d575cf2892319f39e4d6f0;eb482b80a0ca94877c4a0fe9547ceebcda4b72bf; cac701b14a0942b8ff6fb6850ff9fe234f3127ac;5ea39a8555f96be8a9d575cf2892319f39e4d6f0;5ea39a8555f96be8a9d575cf2892319f39e4d6f0;FALSE;TRUE;FALSE;FALSE;;FALSE;TRUE;FALSE;FALSE;;FALSE;FALSE;FALSE;TRUE;;FALSE;FALSE;FALSE;TRUE;;;;;;;;;;
87eb974b2b979ee2c833cf3303076fbf75a95af0;12fbf3bc7f4a4810f9a220d62ef04d2f5b55b7fc; 6360b078e7eb6d3c25ec001ff5f558116d7bb819;87eb974b2b979ee2c833cf3303076fbf75a95af0;87eb974b2b979ee2c833cf3303076fbf75a95af0;FALSE;TRUE;FALSE;FALSE;;FALSE;TRUE;FALSE;FALSE;;FALSE;FALSE;FALSE;TRUE;;FALSE;FALSE;FALSE;TRUE;;;;;;;;;;
80c3fe791bb0b32bec2792d2efb7bcf2828447df;597880763092b477caac06d02b41fe10e9867194; 886ebb532db0d109a893da058aeaebcc21b59330;80c3fe791bb0b32bec2792d2efb7bcf2828447df;80c3fe791bb0b32bec2792d2efb7bcf2828447df;FALSE;TRUE;FALSE;FALSE;;FALSE;TRUE;FALSE;FALSE;;FALSE;FALSE;FALSE;TRUE;;FALSE;FALSE;FALSE;TRUE;;;;;;;;;;
b53d0296ed32035492f8caa1b9c39aca06b5c5d9;9a1890d0cadc97cf9ae871fbbc79d2cca99e199d; 1cba113b04afa82dfef867ac415cf9e267abfe41;b53d0296ed32035492f8caa1b9c39aca06b5c5d9;b53d0296ed32035492f8caa1b9c39aca06b5c5d9;FALSE;TRUE;FALSE;FALSE;;FALSE;TRUE;FALSE;FALSE;;FALSE;FALSE;FALSE;TRUE;;FALSE;FALSE;FALSE;TRUE;;;;;;;;;;
fcf7b1b0c18375c2faaf6aa81f9b3e3eede02c24;31461bcaec9735209d3cbfa59036236d5f8598aa; c839b046f0ae9b6c90d7051cab980df48abe3ee8;fcf7b1b0c18375c2faaf6aa81f9b3e3eede02c24;fcf7b1b0c18375c2faaf6aa81f9b3e3eede02c24;FALSE;TRUE;FALSE;FALSE;;FALSE;TRUE;FALSE;FALSE;;FALSE;FALSE;FALSE;TRUE;;FALSE;FALSE;FALSE;TRUE;;;;;;;;;;
1c482b92762fb0a83746d49c338c8e6a515a49b3;ec636c58598e635079b0efe4c383d069183619d5; bf4dee56dfcf0dc65e5b1ea0d1c540a5f08641a0;1c482b92762fb0a83746d49c338c8e6a515a49b3;1c482b92762fb0a83746d49c338c8e6a515a49b3;FALSE;TRUE;FALSE;FALSE;;FALSE;TRUE;FALSE;FALSE;;FALSE;FALSE;FALSE;TRUE;;FALSE;FALSE;FALSE;TRUE;;;;;;;;;;
42b34d424c7d8a08fc3ab0448577504f6f4755e6;da92362d65fb724fa66ad7ff9b704f43cad3e541; c1e8825a53343e3bd7f44b8228f696173b5364b8;42b34d424c7d8a08fc3ab0448577504f6f4755e6;42b34d424c7d8a08fc3ab0448577504f6f4755e6;FALSE;TRUE;FALSE;FALSE;;FALSE;TRUE;FALSE;FALSE;;FALSE;FALSE;FALSE;TRUE;;FALSE;FALSE;FALSE;TRUE;;;;;;;;;;
4bcc737fef415cfdfd7afb0e9dd839a021905210;adc4084f1d8e815486b49f362e5dc3c784e41d75; 9cc7ce186f6047ca9e5f73729fcb6bf15be9edca;4bcc737fef415cfdfd7afb0e9dd839a021905210;4bcc737fef415cfdfd7afb0e9dd839a021905210;FALSE;TRUE;FALSE;FALSE;;FALSE;TRUE;FALSE;FALSE;;FALSE;FALSE;FALSE;TRUE;;FALSE;FALSE;FALSE;TRUE;;;;;;;;;;
409e0f10af80d04cd8580a7f257bfc04bea81cb6;113b90a90c406b852490ea9184984b9258a5d80e; caba6361898c3f817297923d50667fee5cdd7b91;409e0f10af80d04cd8580a7f257bfc04bea81cb6;409e0f10af80d04cd8580a7f257bfc04bea81cb6;FALSE;TRUE;FALSE;FALSE;;FALSE;TRUE;FALSE;FALSE;;FALSE;FALSE;FALSE;TRUE;;FALSE;FALSE;FALSE;TRUE;;;;;;;;;;
